# BATT RELATED,University Name,TP,FP,TN,FN,LLM Answer,Column6,Column7,Column8,Column9,Column10,Column11
4,University of Michigan,1,0,0,0,Yes,MECHENG 565: Battery Systems and Control,CHE 528: Electrochemistry and Electrochemical Engineering,CHE 589: Special Topics in Electrochemical Energy Storage,CHEM 454: Modern Electrochemistry,MACROMOL 536: Electrochemical Energy Materials,
1,The Ohio State University,0,0,0,1,No,,,,,,
0,Indiana University Indianapolis,0,0,1,0,No,,,,,,
2,"The University of Tennessee,  Knoxville",0,0,0,1,No,,,,,,
0,The University of Tennessee at Chattanooga,0,0,1,0,No,,,,,,
0,The University of Tennessee Southern,0,0,1,0,No,,,,,,
0,University of Georgia,0,0,1,0,No,,,,,,
0,Georgia Southern University,0,0,1,0,No,,,,,,
1,University of West Georgia,0,0,0,1,No,,,,,,
0,The University of Alabama,0,0,1,0,No,,,,,,
0,University of Alabama at Birmingham,0,0,1,0,No,,,,,,
0,The University of Alabama in Huntsville,0,0,1,0,No,,,,,,
1,The University of Texas at Arlington,0,0,0,1,No,,,,,,
1,The University of Texas at Austin,1,0,0,0,Yes,CH 381M: Electrochemistry of Materials,ME 379M: Advanced Batteries and Fuel Cells,CH 391L: Solid State Electrochemistry,,,
1,The University of Texas at Dallas,0,0,0,1,No,,,,,,
0,The University of Texas at San Antonio,0,0,1,0,No,,,,,,
0,The University of Texas at El Paso,0,0,1,0,No,,,,,,
0,The University of Texas Permian Basin,0,0,1,0,No,,,,,,
0,The University of Texas Rio Grande Valley,0,0,1,0,No,,,,,,
0,The University of Texas at Tyler,0,0,1,0,No,,,,,,
1,University at Albany ,0,0,0,1,No,,,,,,
2,Binghamton University ,0,0,0,1,No,,,,,,
1,University at Buffalo ,0,0,0,1,No,,,,,,
1,Stony Brook University,0,0,0,1,No,,,,,,
0,University of Nevada  Reno,0,0,1,0,No,,,,,,
0,University of Nevada  Las Vegas,0,0,1,0,No,,,,,,
0,"University of California,  Berkeley",0,1,0,0,Yes,ENERES 276: Electrochemical Energy Storage,ENERES 161: Electrochemical Energy Conversion and Storage,ENERES 260: Advanced Electrochemical Energy Storage,ENERES C209: Electrochemical Materials,ENERES 298: Electrochemistry and Electrochemical Engineering,
0,"University of California,  Davis ",0,0,1,0,No,,,,,,
2,"University of California,  Irvine",0,0,0,1,No,,,,,,
1,"University of California,  Los Angeles ",0,0,0,1,No,,,,,,
2,"University of California,  Merced",0,0,0,1,No,,,,,,
1,"University of California,  Riverside ",0,0,0,1,No,,,,,,
3,"University of California,  San Diego ",0,0,0,1,No,,,,,,
2,"University of California,  Santa Barbara",0,0,0,1,No,,,,,,
1,"University of California,  Santa Cruz",0,0,0,1,No,,,,,,
4,University of Illinois Urbana-Champaign,1,0,0,0,Yes,CHBE 598: Lithium-Ion Batteries and Beyond,ME 498 BM: Battery Modeling,CHBE 598 BSE: Battery Science and Engineering,CHBE 498 BL: Electrochemical Energy Devices,,
2,University of Illinois Chicago,0,0,0,1,No,,,,,,
0,University of Illinois Springfield,0,0,1,0,No,,,,,,
1,University of Pennsylvania,0,0,0,1,No,,,,,,
1,University of Florida,0,0,0,1,No,,,,,,
1,University of Central Florida,0,0,0,1,No,,,,,,
0,University of North Florida,0,0,1,0,No,,,,,,
0,University of South Florida,0,0,1,0,No,,,,,,
0,University of West Florida,0,0,1,0,No,,,,,,
2,University of Virginia,0,0,0,1,No,,,,,,
1,University of Massachusetts Amherst,0,0,0,1,No,,,,,,
0,University of Massachusetts Boston,0,0,1,0,No,,,,,,
0,University of Massachusetts Dartmouth,0,0,1,0,No,,,,,,
1,University of Massachusetts Lowell,0,0,0,1,No,,,,,,
0,University of North Carolina at Chapel Hill,0,0,1,0,No,,,,,,
0,University of North Carolina at Charlotte,0,0,1,0,No,,,,,,
0,The University of North Carolina at Greensboro,0,0,1,0,No,,,,,,
0,University of North Carolina at Pembroke,0,0,1,0,No,,,,,,
0,University of North Carolina Wilmington,0,0,1,0,No,,,,,,
0,Rutgers University–New Brunswick,0,0,1,0,No,,,,,,
0,University of Montana,0,0,1,0,No,,,,,,
0,University of Minnesota Crookston,0,0,1,0,No,,,,,,
0,University of Minnesota Duluth,0,0,1,0,No,,,,,,
0,University of Minnesota Morris,0,0,1,0,No,,,,,,
0,University of Minnesota Twin Cities,0,0,1,0,No,,,,,,
0,University of Wisconsin–Eau Claire,0,0,1,0,No,,,,,,
0,University of Wisconsin-Green Bay,0,0,1,0,No,,,,,,
0,University of Wisconsin-La Crosse,0,0,1,0,No,,,,,,
0,University of Wisconsin–Madison,0,0,1,0,No,,,,,,
1,University of Wisconsin–Milwaukee,0,0,0,1,No,,,,,,
0,University of Wisconsin Oshkosh,0,0,1,0,No,,,,,,
0,University of Wisconsin–Parkside,0,0,1,0,No,,,,,,
0,University of Wisconsin-Platteville,0,0,1,0,No,,,,,,
0,University of Wisconsin-River Falls,0,0,1,0,No,,,,,,
0,University of Wisconsin–Stevens Point,0,0,1,0,No,,,,,,
0,University of Wisconsin–Stout,0,0,1,0,No,,,,,,
0,University of Wisconsin–Superior,0,0,1,0,No,,,,,,
0,University of Wisconsin-Whitewater,0,0,1,0,No,,,,,,
0,University of Washington,0,0,1,0,No,,,,,,
0,University of Maryland,0,0,1,0,No,,,,,,
0,University of Maryland Eastern Shore,0,0,1,0,No,,,,,,
0,University of Colorado Boulder,0,0,1,0,No,,,,,,
4,University of Colorado Colorado Springs,0,0,0,1,No,,,,,,
0,University of Colorado Denver,0,0,1,0,No,,,,,,
0,The University of Arizona,0,0,1,0,No,,,,,,
0,The University of Iowa,0,0,1,0,No,,,,,,
1,University of Connecticut,0,0,0,1,No,,,,,,
1,University of Louisiana at Lafayette,0,0,0,1,No,,,,,,
0,University of Louisiana Monroe,0,0,1,0,No,,,,,,
1,University of Oklahoma,0,0,0,1,No,,,,,,
0,University of Oregon,0,0,1,0,No,,,,,,
1,University of Kansas,0,0,0,1,No,,,,,,
1,University of Arkansas,0,0,0,1,No,,,,,,
